"activity" "subject" "tbodyaccmeanx" "tbodyaccmeany" "tbodyaccmeanz" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccmeanx" "tgravityaccmeany" "tgravityaccmeanz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkmeanx" "tbodyaccjerkmeany" "tbodyaccjerkmeanz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodyaccmagmean" "tbodyaccmagstd" "tgravityaccmagmean" "tgravityaccmagstd" "tbodyaccjerkmagmean" "tbodyaccjerkmagstd" "tbodygyromagmean" "tbodygyromagstd" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "fbodyaccmeanx" "fbodyaccmeany" "fbodyaccmeanz" "fbodyaccstdx" "fbodyaccstdy" "fbodyaccstdz" "fbodyaccmeanfreqx" "fbodyaccmeanfreqy" "fbodyaccmeanfreqz" "fbodyaccjerkmeanx" "fbodyaccjerkmeany" "fbodyaccjerkmeanz" "fbodyaccjerkstdx" "fbodyaccjerkstdy" "fbodyaccjerkstdz" "fbodyaccjerkmeanfreqx" "fbodyaccjerkmeanfreqy" "fbodyaccjerkmeanfreqz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "fbodygyromeanfreqx" "fbodygyromeanfreqy" "fbodygyromeanfreqz" "fbodyaccmagmean" "fbodyaccmagstd" "fbodyaccmagmeanfreq" "fbodybodyaccjerkmagmean" "fbodybodyaccjerkmagstd" "fbodybodyaccjerkmagmeanfreq" "fbodybodygyromagmean" "fbodybodygyromagstd" "fbodybodygyromagmeanfreq" "fbodybodygyrojerkmagmean" "fbodybodygyrojerkmagstd" "fbodybodygyrojerkmagmeanfreq" "angletbodyaccmeangravity" "angletbodyaccjerkmeangravitymean" "angletbodygyromeangravitymean" "angletbodygyrojerkmeangravitymean" "anglexgravitymean" "angleygravitymean" "anglezgravitymean"
"LAYING" 27 0.277798919328859 -0.0169386590334393 -0.112273368370134 -0.574783321550336 -0.541012892132886 -0.60815876533557 0.585139591107383 0.0234793061308725 0.120613102375168 -0.971679845234899 -0.969891146979866 -0.956568824597315 0.076859186338255 0.0051839851588557 -0.00554795896677852 -0.624308492209396 -0.593582093143792 -0.729557309630873 -0.0683332171546644 -0.0496441313538255 0.116262252263758 -0.745669027144295 -0.754439610369128 -0.594631679097315 -0.0873862322442852 -0.0464751059848658 -0.0600793214 -0.776155496711409 -0.796468156174497 -0.727982409261745 -0.535726883050671 -0.600445866154362 -0.535726883050671 -0.600445866154362 -0.626287365461409 -0.618887250102013 -0.622646577775503 -0.697498265308054 -0.778275050167785 -0.796244747537248 -0.600641532119463 -0.553874359468121 -0.646548247644295 -0.566781295338926 -0.565176644248322 -0.620141790812081 -0.216131719939933 0.0858186568151678 0.128265826486913 -0.641991780991611 -0.618436710858725 -0.711004343278523 -0.63962383364094 -0.594512488954698 -0.746736746744966 -0.0750278092104698 -0.148034757114094 -0.108827197161409 -0.711546673275168 -0.745557413412416 -0.630494529231544 -0.758703337557047 -0.763234809362416 -0.623261741473154 -0.102116029167047 -0.0189862452485906 -0.0197633805593792 -0.585787631892617 -0.672092417700336 0.176607223706242 -0.609647345982886 -0.633580675552349 0.214336221197315 -0.735008737516779 -0.726661203895973 0.0282875910536577 -0.796725772701342 -0.810137398130872 0.183050823624698 -0.00107359758718121 0.0130746659501007 0.0562656834536913 -0.0601138842503356 -0.426265140067114 0.0603991269194631 -0.0866947937633893
"LAYING" 28 0.277532554764398 -0.0191721442063089 -0.109710873104188 -0.649040391307853 -0.573651895933508 -0.685821415026178 0.62376789513089 -0.14757775521466 -0.0469931021049738 -0.973873328062827 -0.960365626256545 -0.946225637251309 0.0807263062382199 0.0138224436546073 0.000824208324801046 -0.680813725392147 -0.651619848945026 -0.800870581884817 -0.064496354556466 -0.0471474023101021 0.100840281329581 -0.740276591873298 -0.741285540196335 -0.669789662889791 -0.0881213551172775 -0.0447972595862042 -0.0607680707408115 -0.720515676293194 -0.825038783246073 -0.769755981125654 -0.610030902501309 -0.635821226515969 -0.610030902501309 -0.635821226515969 -0.689429387759162 -0.687703433627487 -0.648538641430367 -0.710956808836911 -0.78929494326178 -0.805738383010471 -0.654156519193717 -0.584932500113874 -0.715134474431937 -0.647807192984293 -0.595110472615916 -0.695767279528796 -0.217894722988743 -0.0652270030997382 0.0189878861753927 -0.686723799059424 -0.670718095926963 -0.779061720358639 -0.704073382410995 -0.654855915271466 -0.821715494424084 -0.034209736104712 -0.277563092237149 -0.126061027159817 -0.674356656020942 -0.747067907931937 -0.673513886890838 -0.762030978010471 -0.740819453429319 -0.700291282881152 -0.151644339683717 -0.270613215077225 -0.0896917400047906 -0.628763247405236 -0.696993999667801 0.0179948502780366 -0.675428720467801 -0.706415829342932 0.173610396659424 -0.73790809206911 -0.743784612693717 -0.122999827523272 -0.806882151753927 -0.818448508376963 -0.00200923842099476 0.0051397456891623 -0.00901140259397906 0.0480755265267016 -0.00150494933062827 -0.437369402670157 0.182743741320916 0.0624075363685864
"LAYING" 29 0.279111521944767 -0.018471953048314 -0.108675612269477 -0.574295395364826 -0.598400275636657 -0.606461283926453 0.683067625610465 0.115489757911628 0.208215370043721 -0.973282885843023 -0.964643161017442 -0.941621790232558 0.0788382324713372 0.00900161248883721 -0.00355290542467733 -0.623456414216366 -0.635499779848779 -0.793746797790698 -0.0101831910869331 -0.0882883296441861 0.0881626266546221 -0.73469927369157 -0.634569173421512 -0.713864583982558 -0.100707751809855 -0.0464322029527616 -0.052785999031686 -0.736117664139535 -0.853639613139535 -0.770221314302326 -0.553585593347965 -0.579067216088081 -0.553585593347965 -0.579067216088081 -0.664538060484884 -0.620472049862791 -0.602228993700349 -0.653732301592151 -0.802293906366279 -0.840156364186047 -0.579901000186134 -0.587686308146221 -0.680547675465116 -0.5727879490375 -0.630978844851831 -0.602550925183721 -0.165350787567733 0.128076957523023 0.0886270605992151 -0.629875853152035 -0.641289075786337 -0.768433928313954 -0.651564188964826 -0.655526116655523 -0.818292780813954 0.0107764076990698 -0.0815611305061628 -0.00952646181569767 -0.685747413486628 -0.735972301656977 -0.689221357718023 -0.752567831707849 -0.588857987485174 -0.749163172296512 0.00201044246625 -0.253940049719767 0.0203516079320058 -0.589294014734302 -0.639314176054942 0.162765300930698 -0.609879937469099 -0.636434470547384 0.227450813250137 -0.722018434984302 -0.671454324368401 -0.0446469221483721 -0.840464164156977 -0.851462426569767 0.212434137252471 0.00843199681639535 -0.00445131495703488 -0.0431070383319767 -0.000946753019534884 -0.560722156395349 -0.0159365438755814 -0.131056819056395
"LAYING" 30 0.276305836721932 -0.0175856077340209 -0.10589355727859 -0.615890785389034 -0.519047387875457 -0.522643273772115 0.696858200678851 0.0512698188974987 0.184343178348037 -0.974319118563969 -0.952288292767624 -0.92943263464752 0.0734799270148825 0.00730438257971279 -0.000653871890373369 -0.679007254150131 -0.6607705539047 -0.781644485013055 -0.0354229280326632 -0.0717482452402089 0.0834544586693995 -0.671005846122715 -0.538990663942298 -0.589783442185379 -0.0926769005274151 -0.0412903779669452 -0.0493556177875196 -0.780636429556136 -0.79894807305483 -0.76322854691906 -0.538131194183003 -0.588158111633681 -0.538131194183003 -0.588158111633681 -0.697050126998956 -0.658972148093473 -0.510032754098198 -0.573779428671018 -0.785870931331593 -0.810398514673629 -0.635650125322193 -0.55849001001906 -0.634958546900783 -0.609238911508407 -0.531321491840992 -0.506570361273995 -0.302775397984856 -0.0844208556775196 -0.0415480598651175 -0.685307771157441 -0.671673670524282 -0.755432212793734 -0.701879208571802 -0.672622022924282 -0.807184940939948 -0.131649976206266 -0.294148321077076 -0.168604693962381 -0.667418236692689 -0.629910665959817 -0.615699347830287 -0.676801995680601 -0.496310421449608 -0.620253390415144 -0.231709876750131 -0.361122796402089 -0.201705723987467 -0.600372067046214 -0.646522810920757 -0.0301197123824804 -0.656339723754047 -0.664600262443812 0.0817046208143603 -0.669600510563003 -0.589192650089817 -0.205094596687206 -0.811292332428198 -0.822805618746736 0.0433050556386684 0.00829338120762402 0.0170043635063708 0.0231789870650131 -0.0220330832773107 -0.563683489947781 0.0347383559268929 -0.118055740375574
"SITTING" 17 0.27344147274375 -0.0180888559772812 -0.109111919458969 -0.550867932263844 -0.507275258134 -0.613217322774375 0.668613344125 0.01046225616875 0.0223722077328125 -0.9695361643125 -0.9570481696875 -0.94542101409375 0.08251105141625 0.00885228208375 0.003826532875875 -0.635949363671875 -0.6209185283575 -0.78668123990625 -0.01284166884445 -0.0833880991568063 0.0745157818036563 -0.7250048879375 -0.73173270325 -0.681002221107187 -0.109084058157187 -0.0390296211270938 -0.0504091215649062 -0.75779255871875 -0.80093311453125 -0.7804575046875 -0.506906000020438 -0.585287408546562 -0.506906000020438 -0.585287408546562 -0.652073857695312 -0.649316139213437 -0.630693906651719 -0.71559290114375 -0.78281769309375 -0.80013424171875 -0.600723904619781 -0.545947390043031 -0.67938986181875 -0.533671600249375 -0.519062339910625 -0.609007944529688 -0.256068433214375 -0.00441841828840625 -0.015670789182375 -0.675134742364062 -0.65093749483125 -0.7744940495625 -0.628899885682187 -0.614345425693125 -0.79753323615625 -0.130540964169687 -0.199136237109531 -0.201957867699437 -0.690246842451563 -0.7428462089375 -0.68792205428125 -0.737661758785625 -0.72779753184375 -0.708869113253125 -0.0794198509303437 -0.109006734705156 -0.0471110402193125 -0.595908048050938 -0.644502428118125 0.0192196091749063 -0.653531400748438 -0.647886818483125 0.188333227357 -0.73703546740625 -0.7525235544375 0.0134249214915938 -0.8045235876875 -0.8098826564375 0.217874558042187 0.0124901171475625 -0.00192318880190625 0.00510900834875 0.00221408723625 -0.46938149721875 0.063985094540625 -0.0088676211203125
"SITTING" 19 0.269723487105556 -0.0182031515710306 -0.118277180099383 -0.574658922919194 -0.507035084992639 -0.649184726556944 0.475323016 0.0964052626666667 0.233011401195083 -0.958290447861111 -0.95925383425 -0.94180028475 0.0774171147766389 0.0115812421960876 -0.00186198850195833 -0.571088266146083 -0.571311190432222 -0.705342976190833 -0.0385723953346511 -0.0681420603177778 0.0883609591559167 -0.637789914575556 -0.643866300560306 -0.645682212189167 -0.0895939425055556 -0.0383208736670278 -0.0569649444286944 -0.618836206634444 -0.725991380623889 -0.686684583831583 -0.531507362111361 -0.599552767486306 -0.531507362111361 -0.599552767486306 -0.5762252472125 -0.601918552871944 -0.548919668132222 -0.610093380740278 -0.683436541824444 -0.7255986988425 -0.587050355097528 -0.521888076609778 -0.647026298284028 -0.5708979748225 -0.530901585022361 -0.680291382637222 -0.212433282953944 0.0703873634217222 0.160383893888278 -0.593157169174611 -0.596694943936944 -0.680924493180556 -0.586910128980833 -0.572596722878 -0.728521901498861 0.00263882956916667 -0.160787596137611 0.00225579910068611 -0.553089575942778 -0.641337299817778 -0.602625307818389 -0.666071315599889 -0.650105402347778 -0.694729075491667 -0.0321842609068333 -0.19629760694 -0.0415013769106389 -0.556404444967972 -0.689860920113889 0.115775170635767 -0.576064647812278 -0.641089005857778 0.232074775101389 -0.636287999799167 -0.662325968145833 -0.0199336248458333 -0.719519008752778 -0.754223739441667 0.128629739389444 0.00253824381730556 0.00371223512405555 0.0315544716051111 0.00103397442222222 -0.297667818083333 0.00151612316111111 -0.156363049583333
"SITTING" 21 0.277466525522059 -0.0176664578561765 -0.10877848058848 -0.672323867377451 -0.565585190336299 -0.669621813176471 0.645775957808824 -0.0750963071446078 0.0321851774362745 -0.965586634460784 -0.969330818455882 -0.953093993308823 0.0822207874776961 0.00350107553584853 -0.010659072671299 -0.699763344205784 -0.66515912310562 -0.78182390148299 -0.0276346639303578 -0.0784719736838971 0.0861212668362745 -0.79617228689951 -0.765057760637255 -0.701642028499559 -0.100558317889216 -0.0408236141863333 -0.0533861046416422 -0.792483156720588 -0.815859336004902 -0.812017312181373 -0.620309259553676 -0.6601960145 -0.620309259553676 -0.6601960145 -0.703461275879657 -0.680069218953922 -0.693779224517157 -0.761303119652451 -0.807817403137255 -0.82408989995098 -0.693486097144118 -0.59377821414902 -0.707713799021814 -0.665349663426471 -0.578748586831863 -0.675588192778676 -0.230976168156039 0.0412761403403333 0.0495520452825172 -0.71641413145049 -0.678615118728922 -0.767351986555392 -0.709800728388235 -0.674102360655147 -0.794922813673627 0.0168697571497059 -0.161814485722304 -0.112817222676985 -0.752040828651961 -0.759325714811275 -0.709471420465686 -0.811026710110294 -0.771388318823529 -0.728319304730637 -0.089010657789951 -0.18645796643924 -0.0228851873218137 -0.658664719514706 -0.714345739215931 0.0846512609471814 -0.679742584809363 -0.683725127418382 0.244321861877647 -0.776473060171569 -0.793158526279412 -0.00571922625735294 -0.826275026053922 -0.834949863259804 0.205643655933971 0.0120749006444118 -0.0146502110504902 0.0140122661183824 0.0220888939914216 -0.413916194215686 0.128426547916667 -0.0191761331715686
"SITTING" 22 0.279241531908081 -0.0168623073762273 -0.108558951083333 -0.631563159137374 -0.593370593093586 -0.719165341207576 0.675242930959596 0.0235808363131313 0.236637160405404 -0.970886422525252 -0.964866300237374 -0.945237536671717 0.0847162929146465 0.0189573433473737 -0.00354166441267677 -0.66465053739798 -0.649008826582323 -0.811609738686869 -0.0122820553981818 -0.0909878213994949 0.0846177356545455 -0.743170551461616 -0.836307422323232 -0.720618809515152 -0.106045772136364 -0.0372238262065657 -0.0543623901222222 -0.760885591313131 -0.898549452979798 -0.790942774393939 -0.597799544011717 -0.674728311182828 -0.597799544011717 -0.674728311182828 -0.687293447142929 -0.671919866238182 -0.704296113121212 -0.732423163577273 -0.838758636363636 -0.862669919242424 -0.672665603776768 -0.606166993241414 -0.750810842838384 -0.617357217010101 -0.613102962343434 -0.724294244810606 -0.131892357275758 0.0276203708297475 0.074279722880303 -0.680088110645454 -0.65888895869697 -0.795524533080808 -0.678917860634848 -0.663075714679899 -0.826747967929293 0.119210082873737 -0.165402424496465 -0.0253937444080808 -0.700048715979798 -0.844099768484848 -0.712700262257576 -0.758195876909091 -0.83351028510101 -0.749282657878788 -0.189229316364141 -0.236699285483182 -0.0496800786486869 -0.657999241032323 -0.736639079823232 0.114660387515515 -0.667449371934343 -0.680648314314646 0.195159519126263 -0.781388848888889 -0.748109782232323 -0.167128243550505 -0.865397185555556 -0.870345470454545 0.117749012725253 0.00540435654545454 -0.00645666563585858 -0.00823831371111111 0.00202342190287879 -0.489256027424242 0.056305095239899 -0.157358692081818
"STANDING" 22 0.267565895829268 -0.016771104312122 -0.108849744982114 -0.408498997088862 -0.326700060089431 -0.551943490507317 0.503385126178862 0.0442736759186992 0.234681679495935 -0.938572531056911 -0.945180370293496 -0.929170545691057 0.0700672625147154 0.00930099346105691 -0.0131640140761789 -0.456687476 -0.417944389701626 -0.678143433821138 -0.00112339350162602 -0.10137018874878 0.0758043878666667 -0.619856056592683 -0.699934248861789 -0.547955275764228 -0.114427759866748 -0.0404541723047154 -0.0644152729899187 -0.625212511333333 -0.797747537235772 -0.663925946674797 -0.353264495414634 -0.469146190154634 -0.353264495414634 -0.469146190154634 -0.484983543582927 -0.457667435430488 -0.530408052165854 -0.58616042178374 -0.723727568292683 -0.768258152845528 -0.469793729799187 -0.350425993027642 -0.58511773696748 -0.386658942001626 -0.358594356956098 -0.57089997098374 -0.260134797944057 0.0526188638219512 0.0908512663406504 -0.482177496374797 -0.438179681174797 -0.649840836666667 -0.479376250713415 -0.436851876529854 -0.705406665853659 -0.0182142946280488 -0.19938838128374 -0.0811784149772358 -0.54222877499187 -0.706565563170732 -0.531747806138211 -0.645407507130081 -0.699201260894309 -0.596342575910569 -0.123747121876179 -0.142857751796829 -0.0547695470686179 -0.439651188565854 -0.572895500055285 0.0849529148276423 -0.453431441817886 -0.468314812693496 0.108455184837398 -0.642492204065041 -0.621511307308943 -0.0744484883813008 -0.773520124878049 -0.779661007398374 0.122476719195122 0.00674942963333333 0.0209839890643089 -0.00995325648780488 0.0546814457585366 -0.329550679918699 0.0427750327260163 -0.173424249154472
"STANDING" 23 0.273493254730108 -0.019589258786828 -0.109093982385242 -0.622594039757258 -0.532078546615699 -0.450557203409946 0.662324737580645 0.0146209197354839 0.0518662466372043 -0.964393040295699 -0.960318907096774 -0.934236146612903 0.0778588215843817 0.0200470964972984 -0.000717680881887096 -0.608183751830914 -0.61898123051828 -0.603048769571532 -0.0220890418013172 -0.0825972963754032 0.074694942324328 -0.755738625241935 -0.500338191139785 -0.609683451821774 -0.0966990737225806 -0.0432722741798387 -0.0621959093526344 -0.728692138333333 -0.546043593651882 -0.740518145887097 -0.532754757205108 -0.56557562579215 -0.532754757205108 -0.56557562579215 -0.58640067170914 -0.55872531418629 -0.544207964433387 -0.541949073660753 -0.623412641977151 -0.573942888021613 -0.599080886430645 -0.548483208943548 -0.49021281618414 -0.633839114436559 -0.554471679592177 -0.474767543716048 -0.20872442068086 0.0297877248998253 0.0899843792518548 -0.617521836605645 -0.628231338392742 -0.578870810235484 -0.635054351475538 -0.636977610060753 -0.627540367652688 0.0173580639424731 -0.124670179855 -0.112528879362903 -0.685136501518817 -0.497783811010484 -0.617685416736559 -0.779197054064516 -0.50785054741371 -0.644131036807258 -0.0251692798377688 -0.0592724696043011 -0.0229424899271505 -0.529029284118011 -0.657048917971505 0.11533518491586 -0.542663319457527 -0.583832309145968 0.202553279152177 -0.534657191683602 -0.632288527203763 0.154723197790323 -0.584111049810215 -0.593735302105376 0.169185024505108 0.00499252114895161 -0.0112360231368817 0.0121649142389785 -0.0178096428516129 -0.503722187822581 0.0709910591236559 -0.044001828733871
